timestamp,reportingGroup,locationName,value,unit
2019-04-15T00:00:00,Electricity,1000 Hakaniemen kauppahalli,52.61999999999998,kWh
2019-04-16T00:00:00,Electricity,1000 Hakaniemen kauppahalli,58.749999999999986,kWh
2019-04-17T00:00:00,Electricity,1000 Hakaniemen kauppahalli,61.82999999999999,kWh
2019-04-18T00:00:00,Electricity,1000 Hakaniemen kauppahalli,58.46999999999999,kWh
2019-04-19T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.7300000000000002,kWh
2019-04-20T00:00:00,Electricity,1000 Hakaniemen kauppahalli,60.92999999999999,kWh
2019-04-21T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.7600000000000002,kWh
2019-04-22T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.7500000000000002,kWh
2019-04-23T00:00:00,Electricity,1000 Hakaniemen kauppahalli,64.35,kWh
2019-04-24T00:00:00,Electricity,1000 Hakaniemen kauppahalli,56.50999999999999,kWh
2019-04-25T00:00:00,Electricity,1000 Hakaniemen kauppahalli,49.29,kWh
2019-04-26T00:00:00,Electricity,1000 Hakaniemen kauppahalli,51.08,kWh
2019-04-27T00:00:00,Electricity,1000 Hakaniemen kauppahalli,65.71,kWh
2019-04-28T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.7500000000000002,kWh
2019-04-29T00:00:00,Electricity,1000 Hakaniemen kauppahalli,45.14999999999999,kWh
2019-04-30T00:00:00,Electricity,1000 Hakaniemen kauppahalli,60.57999999999999,kWh
2019-05-01T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.7600000000000002,kWh
2019-05-02T00:00:00,Electricity,1000 Hakaniemen kauppahalli,34.79000000000001,kWh
2019-05-03T00:00:00,Electricity,1000 Hakaniemen kauppahalli,75.88000000000001,kWh
2019-05-04T00:00:00,Electricity,1000 Hakaniemen kauppahalli,85.5,kWh
2019-05-05T00:00:00,Electricity,1000 Hakaniemen kauppahalli,37.25999999999999,kWh
2019-05-06T00:00:00,Electricity,1000 Hakaniemen kauppahalli,35.040000000000006,kWh
2019-05-07T00:00:00,Electricity,1000 Hakaniemen kauppahalli,54.769999999999996,kWh
2019-05-08T00:00:00,Electricity,1000 Hakaniemen kauppahalli,66.05999999999999,kWh
